P[day],d[hour]
4.007232000000000127e+00,4.780000000000000249e+00
2.605267369999999971e+00,4.245210000000000150e+00
2.972077399999999869e+00,4.410000000000000142e+00
4.810114139999999594e+00,7.028455700000000306e+00
2.298383499999999913e+00,1.929999999999999938e+00
4.786958000000000268e+00,4.935999999999999943e+00
2.204737259999999921e+00,3.976726300000000158e+00
2.744321199999999905e+00,3.420999999999999819e+00
3.076329040000000070e+00,3.901605800000000013e+00
3.922804199999999852e+00,3.205000000000000071e+00
3.446452910000000092e+00,2.432819799999999866e+00
3.312845999999999957e+00,3.007200000000000095e+00
3.619167000000000023e+00,4.389599999999999724e+00
3.142811000000000021e+00,4.572000000000000064e+00
3.044054070000000056e+00,2.598457499999999865e+00
2.766747880000000048e+00,2.599808299999999850e+00
1.747487529999999900e+00,2.269680000000000142e+00
2.686504150000000202e+00,2.552477199999999780e+00
1.625468019999999925e+01,4.740000000000000213e+00
8.378444999999999920e-01,1.768000000000000016e+00
1.354135099999999925e+00,1.893999999999999906e+00
4.722814630000000236e+00,2.189417399999999958e+00
2.160343999999999820e+00,1.828853999999999980e+00
1.348495530000000109e+00,2.405241399999999974e+00
4.298647700000000071e+00,3.027000000000000135e+00
3.302390729999999941e+00,5.174359899999999790e+00
4.637047869999999961e+00,4.823832200000000014e+00
3.180362000000000133e+00,2.111521000000000203e+00
4.606183999999999834e+00,3.121643000000000168e+00
3.547854000000000063e+00,3.494333000000000133e+00
3.174347389999999880e+00,2.651512400000000103e+00
3.377961430000000043e+00,4.270918899999999852e+00
2.812648470000000067e+00,2.873752200000000201e+00
2.549565889999999779e+00,2.593288700000000002e+00
2.106160730000000036e+00,1.467344500000000052e+00
1.820689999999999920e+00,3.048999999999999932e+00
4.175234999999999808e+00,3.431999999999999940e+00
4.331536599999999737e+00,2.913600000000000190e+00
4.374461379999999622e+00,3.048449399999999976e+00
4.576865149999999716e+00,3.559279500000000152e+00
2.516725720000000166e+00,2.589609900000000131e+00
3.263316469999999914e+00,5.281433700000000009e+00
4.193342209999999959e+00,1.822099600000000041e+00
2.292034829999999967e+00,3.181250700000000098e+00
4.388851650000000326e+00,3.018401499999999960e+00
2.743902939999999901e+00,1.503168000000000060e+00
4.187615380000000442e+00,3.007021700000000131e+00
4.742378480000000174e+00,2.531809799999999999e+00
3.922801610000000050e+00,1.873600699999999897e+00
3.131658939999999891e+00,2.337275700000000178e+00
4.147035920000000431e+00,2.319769400000000203e+00
4.763395240000000364e+00,3.007827199999999923e+00
3.829701500000000092e+00,3.079200000000000159e+00
3.348903819999999865e+00,3.354629800000000106e+00
1.366656300000000046e+00,1.967000000000000082e+00
3.853761599999999898e+00,3.391999999999999904e+00
2.544153699999999851e+00,2.128000000000000114e+00
4.204158500000000132e+00,2.124000000000000110e+00
4.324770799999999582e+00,4.267000000000000348e+00
2.350618599999999780e+00,2.369000000000000217e+00
4.218068680000000015e+00,3.456983099999999975e+00
5.416112899999999897e+00,3.384999999999999787e+00
3.325270290000000184e+00,2.053814399999999818e+00
3.560811199999999843e+00,3.388999999999999790e+00
7.818143400000000298e+00,4.980000000000000426e+00
3.276883699999999955e+00,2.765280000000000182e+00
3.056627709999999887e+00,2.392637500000000195e+00
4.909690030000000149e+00,5.413525299999999874e+00
3.105160999999999838e+00,2.884799999999999809e+00
3.141382450000000048e+00,4.436122600000000027e+00
1.609184500000000018e+00,1.629999999999999893e+00
3.586296200000000045e+00,3.371094300000000210e+00
2.225051380000000023e+00,2.367887099999999911e+00
3.185332480000000022e+00,2.364542800000000167e+00
1.888199390000000033e+00,3.680650200000000094e+00
3.795517779999999952e+00,2.019813500000000150e+00
7.327944999999999709e+00,2.895999999999999908e+00
1.731851079999999987e+00,1.646525599999999923e+00
2.788654030000000006e+00,1.890018600000000104e+00
1.941636570000000006e+00,1.932135799999999959e+00
3.087629520000000127e+00,2.217781000000000002e+00
3.583893000000000217e+00,3.031200000000000117e+00
1.915319599999999900e+00,3.549599999999999866e+00
9.558040000000000092e+00,3.500000000000000000e+00
2.105788000000000082e+01,4.400000000000000355e+00
3.795889970000000169e+00,2.460285600000000183e+00
6.203621889999999972e+00,3.010979999999999990e+00
1.417589472999999956e+01,3.754382699999999851e+00
1.959015781000000089e+01,4.002861000000000224e+00
2.954114999999999824e+01,3.270000000000000018e+00
9.188505599999999163e+00,2.482000000000000206e+00
1.390283907000000063e+01,2.126442899999999803e+00
1.018269817999999916e+01,2.891809700000000039e+00
2.540467899999999890e+00,2.153999999999999915e+00
6.134978300000000218e+00,5.660999999999999588e+00
1.157797000000000054e+01,3.935000000000000053e+00
2.759223457999999951e+01,3.139365399999999973e+00
1.072450000000000045e+02,8.869999999999999218e+00
1.621159999999999934e+00,3.279999999999999805e+00
1.153507600000000011e+01,8.555958000000000396e+00
2.875890270000000193e+00,3.282819700000000118e+00
1.162075439999999915e+01,5.629058399999999907e+00
2.437999999999999901e+01,6.358999999999999986e+00
4.755973680000000314e+00,2.546969600000000167e+00
1.718072135999999972e+01,2.100481300000000218e+00
2.177946500000000007e+00,2.100999999999999979e+00
1.092470900000000000e+01,1.800000000000000044e+00
2.158329799999999921e+01,2.189999999999999947e+00
2.121690650000000034e+01,3.056999999999999940e+00
1.747131419999999835e+01,4.049999999999999822e+00
4.137435400000000207e+00,2.060000000000000053e+00
2.218574799999999847e+00,1.823362099999999986e+00
8.880305899999999752e+00,2.773000000000000131e+00
2.858008939999999853e+01,4.038000000000000256e+00
3.835225009999999912e+01,5.317000000000000171e+00
3.308877310000000183e+00,5.662132999999999861e+00
9.261180000000001078e-01,1.260000000000000009e+00
6.441005999999999787e+00,1.812000000000000055e+00
1.620173589999999919e+01,2.810999999999999943e+00
3.524740459999999853e+00,3.056166300000000113e+00
1.008226559999999994e+00,1.502477499999999910e+00
7.789724480000000284e+00,2.493007099999999809e+00
3.092967390000000094e+00,9.315704000000000207e-01
6.765027800000000369e+00,1.443999999999999950e+00
6.043449999999999989e+00,2.028000000000000025e+00
1.427812199999999976e+01,8.697271799999999331e+00
4.742488999999999777e+01,6.482000000000000206e+00
1.766708699999999865e+01,2.669999999999999929e+00
2.979748999999999981e+01,2.939999999999999947e+00
3.976640000000000175e+00,1.989999999999999991e+00
7.907672250000000069e+00,2.943153899999999989e+00
1.216221716999999991e+01,2.742637199999999886e+00
7.434139300000000006e+00,2.700000000000000178e+00
2.769508500000000151e+00,1.231999999999999984e+00
5.705795900000000032e+00,8.920000000000000151e-01
4.126904200000000245e+00,4.519999999999999574e+00
2.289094319999999882e+01,2.222999999999999865e+00
5.600199969999999894e+01,6.814000000000000057e+00
8.425909262000000410e+01,1.000649669999999958e+01
9.596542799999999707e-01,1.608999999999999986e+00
2.984649479999999855e+01,4.868999999999999773e+00
1.871167399999999859e+01,6.145999999999999908e+00
1.433920649999999952e+01,4.586820399999999687e+00
2.904983139999999864e+01,6.988000000000000433e+00
7.107929999999999637e+00,3.216000000000000192e+00
2.054381533000000104e+01,4.053791900000000226e+00
9.058858600000000649e+00,3.315999999999999837e+00
2.140165440999999902e+01,5.384745900000000418e+00
6.398049999999999571e+00,2.068999999999999950e+00
1.887928709999999910e+01,3.262000000000000011e+00
1.114356999999999971e+02,1.190000000000000036e+01
7.195712100000000166e-01,1.757521899999999970e+00
3.984658899999999893e+00,2.145999999999999908e+00
1.181417262000000079e+01,5.564935199999999860e+00
1.037610900000000003e+00,1.588000000000000078e+00
3.645154900000000087e+00,2.055000000000000160e+00
5.508700000000000330e+01,5.708999999999999631e+00
9.489323100000000011e+00,2.757000000000000117e+00
7.610303000000000040e+00,2.138399999999999856e+00
1.424566030000000083e+01,3.403000000000000025e+00
1.363080240999999937e+01,4.342656400000000083e+00
1.557199209999999923e+01,5.118000000000000327e+00
3.171802083000000039e+01,2.332632100000000097e+00
4.810000000000000142e+01,1.271000000000000085e+01
1.310000000000000000e+02,1.300699999999999967e+01
4.639999999999999858e+01,1.899800000000000111e+01
8.135199999999999321e+00,3.080000000000000071e+00
3.203000000000000114e+01,5.879999999999999893e+00
9.809806800000000493e-01,5.405035999999999730e-01
6.959397209999999667e+00,4.855326899999999668e+00
7.712120839999999866e+00,2.434348099999999793e+00
2.077290700000000001e+01,4.913000000000000256e+00
5.256349099999999908e+01,6.554000000000000270e+00
1.028889799999999966e+01,1.471999999999999975e+00
3.585290000000000088e+00,2.495000000000000107e+00
5.973912450000000263e+00,3.123546399999999945e+00
1.123046047999999963e+01,3.600997800000000026e+00
1.930480999999999980e+01,3.806400000000000006e+00
1.673902900000000082e+00,1.344000000000000083e+00
1.467665000000000042e+01,3.335999999999999854e+00
9.915615000000000734e+00,2.660000000000000142e+00
1.974202000000000012e+00,1.584000000000000075e+00
8.266976400000000780e+00,3.334000000000000075e+00
3.313909499999999841e+00,3.223199999999999843e+00
4.733629999999999782e+00,3.628800000000000026e+00
3.986419999999999675e+01,5.807999999999999829e+00
1.386359999999999992e+01,3.218399999999999928e+00
5.351799999999999891e+00,3.192000000000000171e+00
5.817598600000000175e+00,2.845000000000000195e+00
1.139095559000000080e+01,3.791360300000000016e+00
2.027299894000000080e+01,3.735744899999999813e+00
4.655678199999999656e+00,1.889999999999999902e+00
1.291597230000000041e+00,1.154880499999999977e+00
5.444250000000000256e+00,2.109599999999999920e+00
5.092540000000000333e+01,4.104000000000000092e+00
7.728500000000000369e+00,2.903999999999999915e+00
8.281919999999999504e+00,4.128000000000000114e+00
9.561830000000000496e+00,3.648000000000000131e+00
5.185754700000000383e+00,2.040999999999999925e+00
2.219367999999999785e+00,1.235999999999999988e+00
3.095400000000000063e+01,3.767999999999999794e+00
6.413619999999999877e+00,1.648800000000000043e+00
7.387109999999999843e+00,2.587200000000000166e+00
3.588162000000000074e+00,2.320800000000000196e+00
5.675559999999999938e+00,1.804799999999999960e+00
8.239810000000000301e+00,1.512000000000000011e+00
4.006029999999999802e+01,6.339999999999999858e+00
2.494206000000000145e+00,1.703999999999999959e+00
3.693124999999999880e-01,1.011690699999999943e+00
9.172053500000000525e+00,7.168999999999999595e+00
3.071200000000000152e+00,1.219999999999999973e+00
4.868199999999999861e+00,1.620000000000000107e+00
1.102340000000000053e+01,2.319999999999999840e+00
2.658409999999999940e+01,1.439999999999999947e+00
7.975200000000000067e+00,2.669999999999999929e+00
1.730713000000000079e+01,3.448999999999999844e+00
2.557499999999999929e+01,3.040000000000000036e+00
1.797150000000000136e-01,6.288000000000000256e-01
2.353209999999999802e+00,1.947000000000000064e+00
3.560039999999999871e+00,2.379999999999999893e+00
5.404790000000000205e+00,2.700000000000000178e+00
8.261469999999999203e+00,2.967000000000000082e+00
1.275759000000000043e+01,3.189999999999999947e+00
4.196797000000000111e+01,4.750000000000000000e+00
2.838245999999999825e+01,4.987199999999999633e+00
8.367789999999999395e+00,2.330400000000000027e+00
6.569180000000000241e+00,3.299999999999999822e+00
2.803225999999999773e-01,9.399999999999999467e-01
2.643527999999999878e+00,1.320000000000000062e+00
9.619160000000002153e-01,1.029600000000000071e+00
4.383930000000000327e+00,1.776000000000000023e+00
6.922509999999999941e+00,2.030400000000000205e+00
9.758330000000000837e+00,1.800000000000000044e+00
1.181004000000000076e+01,2.402400000000000091e+00
1.059365999999999985e+01,2.399999999999999911e+00
3.835529999999999884e+00,1.639199999999999990e+00
3.264789999999999992e+01,4.000000000000000000e+00
7.515740000000000087e+00,2.299999999999999822e+00
3.676260000000000083e+00,1.699999999999999956e+00
7.954860000000000042e+00,2.100000000000000089e+00
6.341999999999999638e+00,2.409600000000000186e+00
1.385151581000000043e+01,3.213279599999999903e+00
4.071800000000000352e+01,4.464000000000000412e+00
8.131399999999999739e-01,1.300000000000000044e+00
1.006048999999999971e+01,3.799999999999999822e+00
5.902790000000000425e+00,5.000000000000000000e+00
1.242205000000000048e+01,3.299999999999999822e+00
7.621170000000000222e+00,2.184000000000000163e+00
1.907019999999999982e+01,3.359999999999999876e+00
9.458890000000000242e+00,3.000000000000000000e+00
1.736779999999999902e+01,9.167999999999999261e+00
1.406660141000000053e+01,2.707837300000000003e+00
8.526949999999999363e+00,3.700000000000000178e+00
9.978331929999999517e+00,4.228171099999999960e+00
1.585229999999999961e+01,3.791999999999999815e+00
6.380919999999999703e+00,3.096000000000000085e+00
1.796831999999999852e+01,2.592000000000000082e+00
7.573400000000000354e+00,3.431999999999999940e+00
1.239879999999999960e+01,4.176000000000000156e+00
5.622799999999999798e+00,8.208000000000000185e+00
1.431809999999999938e+01,3.839999999999999858e+00
2.962450000000000117e+01,4.991999999999999993e+00
5.866395709999999930e+00,2.825000000000000178e+00
1.956243630000000167e+01,6.591000000000000192e+00
5.329439999999999955e+00,2.759999999999999787e+00
8.748089999999999478e+00,3.427200000000000024e+00
5.172220000000000262e+00,1.766399999999999970e+00
3.293815570999999665e+01,2.293202299999999916e+00
8.864837489999999320e+00,1.562599400000000083e+00
6.894420000000000215e+00,2.671199999999999797e+00
4.736967500000000442e+00,2.626999999999999780e+00
4.692870000000000097e-01,1.540799999999999947e+00
1.079274000000000022e+01,4.176000000000000156e+00
2.263019999999999854e+01,4.919999999999999929e+00
1.699599999999999866e+01,2.640000000000000124e+00
1.061638400000000004e+01,2.600000000000000089e+00
5.271349399999999719e+01,4.639999999999999680e+00
4.146609999999999729e+01,6.120000000000000107e+00
7.739869999999999806e-01,1.579199999999999937e+00
2.871620000000000061e+00,2.375999999999999890e+00
7.149980000000000224e+00,3.287999999999999812e+00
1.360496000000000016e+01,4.224000000000000199e+00
7.809205200000000069e+00,3.392999999999999794e+00
2.588189999999999991e+00,2.220000000000000195e+00
6.679129999999999789e+00,2.700000000000000178e+00
7.917785529999999738e+00,3.150638999999999967e+00
2.381485999999999947e+01,3.784800000000000164e+00
2.508579999999999810e+00,1.929999999999999938e+00
1.010159999999999947e+01,4.224000000000000199e+00
2.858470000000000066e+00,2.232000000000000206e+00
4.163280000000000314e+00,1.617599999999999927e+00
1.478707999999999956e+01,4.387199999999999989e+00
3.972679999999999723e+01,8.519999999999999574e+00
1.585388000000000019e+01,4.799999999999999822e+00
2.847070000000000078e+01,5.975999999999999979e+00
8.357440999999999676e+00,3.470400000000000151e+00
1.704354000000000013e+01,2.959200000000000053e+00
3.358999999999999986e+00,1.420080000000000009e+00
7.449760000000000382e+00,3.002400000000000180e+00
3.225399299999999858e+00,2.016999999999999904e+00
7.374489699999999814e+00,2.451999999999999957e+00
2.850089999999999790e+00,1.341599999999999904e+00
1.059806000000000026e+00,1.749600000000000044e+00
2.277680000000000149e+01,3.648000000000000131e+00
3.405086999999999975e+00,2.032799999999999940e+00
9.689700000000000202e+00,3.552000000000000046e+00
7.056470000000000020e+00,4.464000000000000412e+00
2.668199999999999861e+01,6.048000000000000043e+00
1.249039999999999928e+01,4.296000000000000263e+00
4.191209999999999880e+00,2.184000000000000163e+00
9.324479999999999436e+00,2.524799999999999933e+00
1.550195000000000078e+01,2.378400000000000070e+00
6.695729999999999738e-01,1.324799999999999978e+00
9.794012099999999776e+00,2.697000000000000064e+00
8.596270000000000522e+00,3.791999999999999815e+00
8.269470000000000098e+00,2.232000000000000206e+00
2.174766899999999836e+00,1.739000000000000101e+00
1.407210000000000072e+01,5.687999999999999723e+00
8.680550000000000210e+00,3.839999999999999858e+00
3.900900000000000034e+00,3.407999999999999918e+00
6.667399999999999771e+00,4.823999999999999844e+00
1.113878000000000057e+01,4.895999999999999908e+00
3.810653999999999986e-01,5.856000000000000094e-01
1.368275000000000041e+01,3.359999999999999876e+00
2.398982000000000170e+00,2.503200000000000092e+00
1.539488588000000036e+01,3.682202900000000056e+00
5.056500000000000439e-01,9.000000000000000222e-01
4.563270000000000159e+00,2.799999999999999822e+00
4.479040000000000354e+00,2.399999999999999911e+00
1.009488999999999947e+01,3.600000000000000089e+00
1.587209000000000003e+01,4.599999999999999645e+00
3.271079999999999988e+00,2.399999999999999911e+00
2.698280000000000012e+00,1.500000000000000000e+00
5.842600000000000016e-01,1.500000000000000000e+00
8.327270000000000394e+00,2.500000000000000000e+00
2.860409999999999897e+00,2.600000000000000089e+00
1.384456999999999915e+01,2.951999999999999957e+00
1.116840370000000071e+01,5.354000000000000092e+00
2.467499999999999805e+00,1.987999999999999989e+00
7.060050000000000381e+00,2.795999999999999819e+00
2.436449999999999960e+01,3.838000000000000078e+00
2.180527709999999786e+00,2.969174999999999898e+00
3.204709499999999878e+00,3.070466199999999812e+00
5.240000000000000213e+00,1.466399999999999926e+00
7.775000000000000355e+00,1.247999999999999998e+00
1.011500000000000021e+01,1.838400000000000034e+00
2.088505999999999929e+01,5.474400000000000155e+00
4.236330000000000240e+01,6.469999999999999751e+00
6.033999999999999808e+00,2.152800000000000047e+00
2.052299999999999969e+01,3.192000000000000171e+00
2.681990000000000052e+01,4.099999999999999645e+00
6.513889999999999958e+00,2.000000000000000000e+00
1.154181999999999952e+01,3.700000000000000178e+00
2.494597999999999871e+01,5.200000000000000178e+00
2.106884000000000157e+01,3.899999999999999911e+00
1.189306999999999981e+01,4.200000000000000178e+00
5.769180000000000419e+00,3.399999999999999911e+00
2.250210000000000043e+00,1.199999999999999956e+00
6.494239999999999569e+00,1.699999999999999956e+00
7.172559999999999825e+00,2.799999999999999822e+00
1.240900000000000070e+01,5.900000000000000355e+00
3.484752830000000134e+00,7.171813000000000216e-01
4.014569999999999972e+00,2.399999999999999911e+00
9.300750000000000739e+00,2.700000000000000178e+00
1.381512999999999991e+01,3.600000000000000089e+00
4.003577329999999712e+00,2.095815299999999937e+00
4.096390000000000420e+00,1.600000000000000089e+00
1.211838999999999977e+01,2.399999999999999911e+00
1.964169999999999972e+00,1.100000000000000089e+00
5.520109999999999850e+00,3.600000000000000089e+00
1.605879999999999974e+00,1.300000000000000044e+00
1.909209999999999852e+01,6.000000000000000000e+00
1.548043000000000013e+01,4.200000000000000178e+00
1.456593999999999944e+01,4.703999999999999737e+00
2.626698300000000152e+00,4.086999999999999744e+00
1.163345409999999980e+01,5.081000000000000405e+00
5.082130000000000081e+01,3.407999999999999918e+00
5.840002000000000137e+00,1.883999999999999897e+00
1.966365000000000052e+01,2.919999999999999929e+00
2.369019000000000208e+00,2.339999999999999858e+00
6.585239999999999982e-01,3.333599999999999897e-01
7.814000000000000057e+00,2.255999999999999783e+00
1.469891246999999979e+01,3.953965300000000127e+00
1.948482566999999932e+01,4.821401500000000340e+00
2.151676000000000144e+00,1.969999999999999973e+00
9.327527000000001678e+00,3.350000000000000089e+00
4.528597999999999679e+00,2.569999999999999840e+00
6.131243000000000443e+00,2.540000000000000036e+00
2.627056999999999931e+01,4.620000000000000107e+00
4.144936999999999649e+00,2.709600000000000009e+00
6.771341099999999891e+00,2.835999999999999854e+00
1.543452000000000046e+00,1.643999999999999906e+00
4.399739000000000289e+00,1.691999999999999948e+00
8.562441099999999139e+00,3.005999999999999783e+00
1.445106999999999964e+01,3.624000000000000110e+00
1.171884999999999977e+01,4.871999999999999886e+00
1.413167999999999935e+01,3.648000000000000131e+00
3.280959800000000204e+00,1.897000000000000020e+00
8.438835900000000834e+00,2.129000000000000004e+00
1.871320000000000050e+01,6.887999999999999901e+00
6.326680040000000282e+00,2.031060099999999924e+00
3.332530000000000214e+00,3.935999999999999943e+00
7.124710000000000321e+00,3.072000000000000064e+00
2.260265490000000099e+00,1.010349299999999895e+00
1.989526000000000039e+01,8.266999999999999460e+00
8.687811999999999202e+00,2.709600000000000009e+00
4.170320000000000249e+00,2.879999999999999893e+00
1.921111000000000013e+00,1.828799999999999981e+00
4.794874799999999659e+00,2.067000000000000171e+00
3.471564400000000106e+00,2.129999999999999893e+00
7.138561000000000156e+00,2.468999999999999861e+00
1.045581999999999923e+01,2.504000000000000004e+00
1.476289000000000051e+01,2.299999999999999822e+00
2.735900000000000176e+01,3.000000000000000000e+00
3.138879999999999981e+01,2.337600000000000122e+00
1.315727000000000046e+01,3.873600000000000154e+00
3.258811029999999942e+00,2.215469000000000133e+00
9.211650000000000560e+00,4.959999999999999964e+00
4.836684999999999945e+01,8.140000000000000568e+00
2.225452699999999950e+00,1.701000000000000068e+00
1.698410000000000153e+01,3.660000000000000142e+00
1.312250000000000050e+01,3.979999999999999982e+00
2.503870000000000040e+00,2.600000000000000089e+00
4.024888400000000033e+00,2.431999999999999940e+00
1.005394386999999945e+01,2.068692400000000209e+00
2.464354000000000156e+01,3.633000000000000007e+00
4.455611999999999995e+01,4.169999999999999929e+00
4.098417210000000033e+00,2.329305900000000040e+00
3.386417150000000209e+00,2.854386100000000148e+00
1.257833200000000096e+00,9.310000000000000497e-01
3.144318900000000028e+00,8.209999999999999520e-01
8.992000000000000881e+00,3.487999999999999989e+00
2.066093000000000046e+01,4.349999999999999645e+00
3.171700999999999837e+01,4.887999999999999901e+00
4.349339999999999762e+00,2.670999999999999819e+00
2.298014339999999933e+00,1.026815999999999951e+00
1.245512249999999987e+01,3.620999999999999996e+00
5.425259999999999749e+00,4.535999999999999588e+00
1.377482170000000039e+01,4.472999999999999865e+00
